rank,name,mbid,listeners,playcount,url,image_url
98,The Cranberries,,4529021,147417022,https://www.last.fm/music/The+Cranberries,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
99,NewJeans,,1665480,302672932,https://www.last.fm/music/NewJeans,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
100,XXXTENTACION,,2671605,320539313,https://www.last.fm/music/XXXTENTACION,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
101,Black Eyed Peas,,5497398,142270915,https://www.last.fm/music/Black+Eyed+Peas,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
102,Lil Peep,,2042559,337257981,https://www.last.fm/music/Lil+Peep,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
103,Fall Out Boy,,4865518,394978737,https://www.last.fm/music/Fall+Out+Boy,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
104,Mariah Carey,,4814111,239341095,https://www.last.fm/music/Mariah+Carey,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
105,Florence + the Machine,,3782194,267512038,https://www.last.fm/music/Florence+%252B+the+Machine,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
106,Miley Cyrus,,4665376,286731764,https://www.last.fm/music/Miley+Cyrus,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
107,Gracie Abrams,,1687847,262039496,https://www.last.fm/music/Gracie+Abrams,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
108,Lil Wayne,,3405531,156379007,https://www.last.fm/music/Lil+Wayne,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
109,Weezer,,5199442,276414001,https://www.last.fm/music/Weezer,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
110,The Killers,,6729369,367631931,https://www.last.fm/music/The+Killers,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
111,Metallica,,4996776,514412355,https://www.last.fm/music/Metallica,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
112,ABBA,,4164442,176266688,https://www.last.fm/music/ABBA,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
113,Kid Cudi,,4537836,262244042,https://www.last.fm/music/Kid+Cudi,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
114,Kesha,,2945683,106863118,https://www.last.fm/music/Kesha,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
115,Nicki Minaj,,4594377,296103374,https://www.last.fm/music/Nicki+Minaj,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
116,Billy Joel,,3874064,119176645,https://www.last.fm/music/Billy+Joel,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
117,Brent Faiyaz,,1918728,210288909,https://www.last.fm/music/Brent+Faiyaz,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
118,Yeat,,1489122,334083513,https://www.last.fm/music/Yeat,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
119,Alex G,,1931848,230042996,https://www.last.fm/music/Alex+G,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
120,21 Savage,,2182297,204310301,https://www.last.fm/music/21+Savage,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
121,Adele,,5441551,306680582,https://www.last.fm/music/Adele,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
122,Frank Sinatra,,4700664,168868985,https://www.last.fm/music/Frank+Sinatra,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
123,Phoebe Bridgers,,2033819,270259011,https://www.last.fm/music/Phoebe+Bridgers,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
124,David Guetta,,5011465,177825007,https://www.last.fm/music/David+Guetta,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
125,PARTYNEXTDOOR,,1848050,145267114,https://www.last.fm/music/PARTYNEXTDOOR,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
126,Slipknot,,4065755,342149137,https://www.last.fm/music/Slipknot,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
127,Foo Fighters,,6191705,351937054,https://www.last.fm/music/Foo+Fighters,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
128,David Bowie,,5398686,386529612,https://www.last.fm/music/David+Bowie,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
129,HUNTR/X,,916080,32475036,https://www.last.fm/music/HUNTR%2FX,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
130,Marina,,2090674,166918871,https://www.last.fm/music/Marina,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
131,Muse,,6189277,553170466,https://www.last.fm/music/Muse,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
132,The 1975,,2526761,280673185,https://www.last.fm/music/The+1975,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
133,Gunna,,1700444,163733995,https://www.last.fm/music/Gunna,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
134,Magdalena Bay,,1305351,96766916,https://www.last.fm/music/Magdalena+Bay,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
135,Limp Bizkit,,3949666,164341001,https://www.last.fm/music/Limp+Bizkit,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
136,Juice WRLD,,2346397,485079029,https://www.last.fm/music/Juice+WRLD,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
137,Ed Sheeran,,4033142,244412676,https://www.last.fm/music/Ed+Sheeran,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
138,One Direction,,3109588,297238705,https://www.last.fm/music/One+Direction,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
139,Nelly Furtado,,4635461,109987150,https://www.last.fm/music/Nelly+Furtado,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
140,Tory Lanez,,1838611,131644529,https://www.last.fm/music/Tory+Lanez,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
141,Oasis,,5689731,309597547,https://www.last.fm/music/Oasis,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
